Num of Samples = 	1																				
Wraps = 	1	 Interleafs = 	1	 finished in 	39766	 ms															
Wraps = 	1	 Interleafs = 	1	 PSNR: 	10.1814																
Wraps = 	1	 Interleafs = 	1	 SSIM: 	0.125432																
										Interleafs											
Num of Samples = 	2									512	8.28493	8.21528	8.2197	8.26825	8.27407	8.28493	8.21528	8.2197	8.26825	8.27407	
Wraps = 	2	 Interleafs = 	1	 finished in 	38477	 ms				256	8.10924	7.98806	8.06604	7.94144	7.9894	8.37618	8.10924	7.98806	8.06604	7.94144	
Wraps = 	2	 Interleafs = 	1	 PSNR: 	10.9202					128	8.109	8.17212	8.03811	8.26263	8.5612	8.37563	8.4911	8.109	8.17212	8.03811	
Wraps = 	2	 Interleafs = 	1	 SSIM: 	0.0723121					64	14.6328	15.2544	13.9419	13.02	13.3321	12.3883	14.0577	14.8505	14.6328	15.2544	
										32	14.8481	15.8617	16.3206	14.8231	11.8643	11.6983	11.5263	12.0578	12.5058	14.8481	
Num of Samples = 	4									16	11.3052	12.4535	13.6827	16.1352	15.0469	11.9866	10.0147	10.6583	10.1046	9.89648	
Wraps = 	4	 Interleafs = 	1	 finished in 	37533	 ms				8	9.59894	10.1863	10.8739	12.3477	15.3599	15.1001	12.0174	10.0387	9.17518	9.23856	
Wraps = 	4	 Interleafs = 	1	 PSNR: 	10.5668					4	9.06737	9.57211	9.8786	9.91139	11.7473	14.054	15.1217	12.031	10.0417	9.17975	
Wraps = 	4	 Interleafs = 	1	 SSIM: 	0.112021					2	8.48354	9.00443	8.74744	9.38754	9.85085	11.2323	13.9975	14.8847	12.0193	10.0128	
										1	10.1814	10.9202	10.5668	10.967	12.0716	13.3918	15.4192	15.6926	14.8825	12.0186	
Num of Samples = 	8										1	2	4	8	16	32	64	128	256	512	Wraps
Wraps = 	8	 Interleafs = 	1	 finished in 	37263	 ms															
Wraps = 	8	 Interleafs = 	1	 PSNR: 	10.967																
Wraps = 	8	 Interleafs = 	1	 SSIM: 	0.151314																
																					
Num of Samples = 	16																				
Wraps = 	16	 Interleafs = 	1	 finished in 	36872	 ms															
Wraps = 	16	 Interleafs = 	1	 PSNR: 	12.0716																
Wraps = 	16	 Interleafs = 	1	 SSIM: 	0.219137																
																					
Num of Samples = 	32																				
Wraps = 	32	 Interleafs = 	1	 finished in 	37397	 ms															
Wraps = 	32	 Interleafs = 	1	 PSNR: 	13.3918																
Wraps = 	32	 Interleafs = 	1	 SSIM: 	0.457155																
																					
Num of Samples = 	64																				
Wraps = 	64	 Interleafs = 	1	 finished in 	37781	 ms															
Wraps = 	64	 Interleafs = 	1	 PSNR: 	15.4192																
Wraps = 	64	 Interleafs = 	1	 SSIM: 	0.570438																
																					
Num of Samples = 	128																				
Wraps = 	128	 Interleafs = 	1	 finished in 	37916	 ms															
Wraps = 	128	 Interleafs = 	1	 PSNR: 	15.6926																
Wraps = 	128	 Interleafs = 	1	 SSIM: 	0.767062																
																					
Num of Samples = 	256																				
Wraps = 	256	 Interleafs = 	1	 finished in 	37215	 ms															
