# Wraps	# Interleafs	PSNR	SSIM	Time	# Samples
1	1	10.1814	0.125434	78380	32768
2	1	10.9201	0.0723165	62140	32768
4	1	10.5655	0.112015	61165	32768
8	1	10.9672	0.151329	63345	32768
16	1	12.0668	0.219099	62423	32768
32	1	13.6607	0.46618	101060	32768
64	1	15.7447	0.58288	62097	32768
128	1	18.1414	0.852563	61512	32768
256	1	17.0829	0.853853	61565	32768
512	1	14.9599	0.732254	61319	32768
1	2	8.48234	0.0833309	61482	32768
2	2	9.00687	0.0852525	61532	32768
4	2	8.74948	0.100593	61202	32768
8	2	9.38808	0.182351	60770	32768
16	2	9.87084	0.205164	61216	32768
32	2	11.5033	0.411652	61582	32768
64	2	15.0675	0.738401	61674	32768
128	2	17.3022	0.858682	61283	32768
256	2	14.891	0.73072	61721	32768
512	2	12.0197	0.519936	61283	32768
1	4	9.0688	0.143736	61829	32768
2	4	9.57445	0.190773	61354	32768
4	4	9.88052	0.241931	61449	32768
8	4	9.85737	0.339752	61484	32768
16	4	12.0998	0.549524	61244	32768
32	4	17.3776	0.833151	61488	32768
64	4	16.9608	0.851593	61353	32768
128	4	15.0721	0.735473	61339	32768
256	4	12.0282	0.52057	61627	32768
512	4	10.0375	0.314337	61194	32768
1	8	9.60004	0.250397	61324	32768
2	8	10.1928	0.317997	61715	32768
4	8	10.9631	0.429326	61222	32768
8	8	12.8241	0.645208	61649	32768
16	8	19.378	0.882248	61066	32768
32	8	16.9427	0.851373	61318	32768
64	8	15.0692	0.735371	61641	32768
128	8	12.0264	0.520464	61392	32768
256	8	10.0337	0.314173	61394	32768
512	8	9.17909	0.173534	61035	32768
1	16	11.3326	0.452455	61313	32768
2	16	12.5332	0.57436	61586	32768
4	16	14.0516	0.703439	61923	32768
8	16	20.7442	0.916149	116477	32768
16	16	16.9269	0.851254	61380	32768
32	16	15.051	0.735075	61146	32768
64	16	12.0181	0.520072	61087	32768
128	16	10.034	0.313982	61530	32768
256	16	10.674	0.34242	61448	32768
512	16	10.1299	0.324624	61253	32768
1	32	14.7778	0.72062	177439	32768
2	32	16.464	0.814023	60939	32768
4	32	22.2842	0.938167	61382	32768
8	32	16.8644	0.850719	61583	32768
16	32	14.9985	0.734166	61412	32768
32	32	11.9903	0.518802	61844	32768
64	32	11.8095	0.510694	62012	32768
128	32	11.6371	0.50349	61628	32768
256	32	12.1772	0.546252	61713	32768
512	32	12.6566	0.597275	61816	32768
1	64	19.7125	0.900715	157806	32768
2	64	21.5764	0.944704	61366	32768
4	64	16.5818	0.848128	61131	32768
8	64	14.7835	0.730313	61646	32768
16	64	13.8383	0.697243	61933	32768
32	64	14.176	0.710339	61506	32768
64	64	13.1394	0.67886	61300	32768
128	64	14.9281	0.756603	61522	32768
256	64	16.1397	0.814408	61613	32768
512	64	19.7125	0.900715	115158	32768
1	128	17.9994	0.921958	61144	32768
2	128	15.3097	0.83079	61589	32768
4	128	16.3587	0.854966	61790	32768
8	128	15.9223	0.84674	61449	32768
16	128	16.9342	0.866193	61258	32768
32	128	15.4883	0.842547	61438	32768
64	128	17.7395	0.894909	61751	32768
128	128	17.4636	0.905795	61183	32768
256	128	17.9994	0.921958	61472	32768
512	128	15.3097	0.83079	61494	32768
1	256	8.07761	0.0684523	61635	32768
2	256	8.57118	0.086245	61541	32768
4	256	8.44415	0.0829596	61463	32768
8	256	8.46626	0.0837152	62017	32768
16	256	8.52451	0.0865955	61390	32768
32	256	8.44804	0.0839881	61623	32768
64	256	8.6795	0.0918582	61698	32768
128	256	8.07761	0.0684523	61354	32768
