# Wraps	# Interleafs	PSNR	SSIM	Time	# Samples
1	1	9.87289	0.0697286	149603	16384
2	1	10.2456	0.11548	147009	16384
4	1	10.7167	0.0773157	147413	16384
8	1	10.4652	0.122488	148218	16384
16	1	10.8502	0.154471	148480	16384
32	1	11.6147	0.209869	148992	16384
64	1	13.1539	0.442832	147370	16384
128	1	13.6321	0.486069	147903	16384
256	1	13.2853	0.608976	148730	16384
512	1	11.4065	0.471933	148995	16384
1	2	8.44871	0.0718422	147943	16384
2	2	8.64734	0.0969198	149492	16384
4	2	8.85383	0.0909497	148446	16384
8	2	8.70175	0.113324	149044	16384
16	2	9.34785	0.18804	150878	16384
32	2	9.64957	0.19741	149631	16384
64	2	10.732	0.360322	149688	16384
128	2	11.0306	0.490004	149885	16384
256	2	11.4949	0.477343	149705	16384
512	2	9.4055	0.259163	150708	16384
1	4	9.04594	0.12389	149567	16384
2	4	9.02154	0.141354	150322	16384
4	4	9.38029	0.181859	149495	16384
8	4	9.64347	0.22822	149289	16384
16	4	9.56648	0.309736	149597	16384
32	4	11.4329	0.487294	149639	16384
64	4	11.6759	0.568761	150776	16384
128	4	11.3586	0.471187	150842	16384
256	4	9.37786	0.257926	149530	16384
512	4	8.7941	0.151518	150463	16384
1	8	9.34975	0.198863	151050	16384
2	8	9.59946	0.2492	150604	16384
4	8	9.94185	0.29955	150714	16384
8	8	10.1258	0.365832	150875	16384
16	8	11.6876	0.54982	150135	16384
32	8	12.5409	0.627681	151446	16384
64	8	11.3324	0.469943	149901	16384
128	8	9.3645	0.256736	150590	16384
256	8	8.78699	0.150816	153363	16384
512	8	8.98456	0.159375	152424	16384
1	16	9.78203	0.306091	151424	16384
2	16	10.8632	0.419672	151932	16384
4	16	11.2464	0.488745	150147	16384
8	16	11.8448	0.559891	151477	16384
16	16	12.6921	0.642452	152270	16384
32	16	11.2279	0.464301	152204	16384
64	16	9.30891	0.251826	150942	16384
128	16	9.4297	0.260582	150641	16384
256	16	9.97296	0.294397	150791	16384
512	16	9.5471	0.282092	151350	16384
1	32	11.5035	0.525287	150725	16384
2	32	11.9392	0.579159	151013	16384
4	32	12.0926	0.606216	150556	16384
8	32	12.1023	0.620375	150522	16384
16	32	10.8068	0.438265	150502	16384
32	32	10.4341	0.413394	151177	16384
64	32	10.3455	0.407285	151716	16384
128	32	10.6355	0.431762	151389	16384
256	32	11.0793	0.480578	150490	16384
512	32	11.5035	0.525287	150690	16384
1	64	8.24846	0.0638981	151203	16384
