# Wraps	# Interleafs	PSNR	SSIM	Time	# Samples
0.5	0.01	20.267	0.869394	40899	16384
1	0.01	16.8649	0.713196	38413	16384
2	0.01	16.4615	0.711008	36879	16384
4	0.01	18.6163	0.795021	37251	16384
8	0.01	14.2927	0.442916	37709	16384
16	0.01	12.2129	0.172495	37514	16384
32	0.01	11.6814	0.149292	37098	16384
64	0.01	12.4632	0.258951	37186	16384
128	0.01	17.1334	0.737972	37128	16384
256	0.01	23.6956	0.950757	37093	16384
0.5	0.01	19.0015	0.81804	37509	16384
1	0.01	21.6061	0.912376	37297	16384
2	0.01	22.4194	0.922558	37119	16384
4	0.01	19.2661	0.81884	37372	16384
8	0.01	14.5102	0.489468	37429	16384
16	0.01	12.379	0.165408	37058	16384
32	0.01	11.4969	0.148304	37064	16384
64	0.01	11.852	0.162189	37092	16384
128	0.01	14.6152	0.532211	37065	16384
256	0.01	23.737	0.95105	37424	16384
0.5	0.01	18.0508	0.790994	37321	16384
1	0.01	17.1028	0.752603	37312	16384
2	0.01	20.2983	0.892384	37148	16384
4	0.01	16.9568	0.688686	37390	16384
8	0.01	14.7714	0.559875	37501	16384
16	0.01	11.7444	0.157598	37324	16384
32	0.01	12.0926	0.218229	37519	16384
64	0.01	12.1193	0.192075	37377	16384
128	0.01	17.1074	0.738232	37073	16384
256	0.01	22.9992	0.949074	37009	16384
0.5	0.01	18.5641	0.807325	37301	16384
1	0.01	18.7574	0.810821	36919	16384
2	0.01	20.9389	0.897172	37277	16384
4	0.01	15.5864	0.59687	37119	16384
8	0.01	14.1211	0.452109	37415	16384
16	0.01	12.7688	0.307198	37227	16384
32	0.01	12.1762	0.219044	37419	16384
64	0.01	12.3973	0.239882	37068	16384
128	0.01	17.1455	0.738427	37074	16384
256	0.01	23.4211	0.9502	37066	16384
0.5	0.01	20.2356	0.86739	37034	16384
1	0.01	18.2745	0.788005	36994	16384
2	0.01	21.6349	0.900101	37358	16384
4	0.01	16.3469	0.67678	37121	16384
8	0.01	13.7562	0.437197	69047	16384
16	0.01	11.9993	0.183147	37640	16384
32	0.01	12.3316	0.239922	37476	16384
64	0.01	12.3982	0.258621	37070	16384
128	0.01	20.2568	0.874518	37219	16384
256	0.01	23.5999	0.950802	69446	16384
0.5	0.01	18.6669	0.813674	68741	16384
1	0.01	17.5218	0.752717	37354	16384
2	0.01	21.4741	0.913428	37603	16384
4	0.01	16.6639	0.676735	37609	16384
8	0.01	13.5777	0.360751	37412	16384
16	0.01	12.0824	0.194566	37251	16384
32	0.01	12.3514	0.240506	63377	16384
64	0.01	12.2781	0.228922	68866	16384
128	0.01	20.1202	0.874341	69846	16384
256	0.01	23.7401	0.950801	37799	16384
0.5	0.01	19.723	0.837229	59315	16384
1	0.01	17.7642	0.748199	38042	16384
2	0.01	18.3	0.788447	38171	16384
4	0.01	16.5084	0.661724	65247	16384
8	0.01	13.2949	0.348165	68597	16384
16	0.01	12.8045	0.20436	37886	16384
32	0.01	11.8254	0.154331	37597	16384
64	0.01	12.2497	0.228828	144115	16384
128	0.01	12.4992	0.256255	37408	16384
256	0.01	23.7757	0.950551	37456	16384
0.5	0.01	18.2931	0.786611	37539	16384
1	0.01	17.4782	0.758048	38165	16384
2	0.01	19.3952	0.842149	39288	16384
4	0.01	20.3511	0.861076	39532	16384
8	0.01	14.2438	0.485454	168295	16384
16	0.01	12.1355	0.190129	38762	16384
32	0.01	11.8104	0.154281	39580	16384
64	0.01	11.9654	0.174683	40843	16384
128	0.01	20.3236	0.875188	39499	16384
256	0.01	23.2107	0.949419	38738	16384
0.5	0.01	18.6281	0.796161	39186	16384
1	0.01	18.9177	0.820154	39289	16384
2	0.01	18.6296	0.798542	38959	16384
4	0.01	18.378	0.799963	39283	16384
8	0.01	13.7708	0.371052	38850	16384
16	0.01	11.8922	0.1698	38999	16384
32	0.01	12.0592	0.168298	40323	16384
64	0.01	12.443	0.256046	39942	16384
128	0.01	20.3221	0.874341	39020	16384
256	0.01	23.3888	0.950108	38789	16384
0.5	0.01	21.103	0.895814	38929	16384
1	0.01	17.8753	0.766337	39465	16384
2	0.01	18.7633	0.818728	39824	16384
4	0.01	16.6716	0.696977	39071	16384
8	0.01	15.8055	0.602643	42720	16384
16	0.01	12.9483	0.325743	177757	16384
32	0.01	11.803	0.151042	40073	16384
64	0.01	12.3761	0.255497	63706	16384
128	0.01	20.2772	0.874676	38861	16384
256	0.01	23.3439	0.94995	40370	16384
0.5	0.01	18.7519	0.814798	39943	16384
1	0.01	17.3185	0.736448	39558	16384
2	0.01	17.4624	0.786081	41412	16384
4	0.01	17.6511	0.75607	38939	16384
8	0.01	13.7668	0.430564	38382	16384
16	0.01	11.8837	0.160075	122690	16384
32	0.01	11.7211	0.154552	38560	16384
64	0.01	12.139	0.208089	38120	16384
128	0.01	17.0813	0.738049	150738	16384
256	0.01	23.112	0.949012	134311	16384
0.5	0.01	18.3272	0.784128	164116	16384
1	0.01	16.3663	0.69402	38804	16384
2	0.01	19.2251	0.821261	143514	16384
4	0.01	17.8946	0.77455	38769	16384
8	0.01	14.6886	0.513708	39055	16384
16	0.01	12.5899	0.231018	294847	16384
32	0.01	11.8271	0.162312	38540	16384
64	0.01	11.9028	0.174567	39244	16384
128	0.01	17.1197	0.73783	38311	16384
256	0.01	23.3867	0.949536	38660	16384
0.5	0.01	19.3249	0.842978	38886	16384
1	0.01	17.9144	0.767845	39291	16384
2	0.01	18.422	0.798194	39055	16384
4	0.01	17.009	0.698283	39869	16384
8	0.01	12.8573	0.274929	40485	16384
16	0.01	11.9063	0.160666	39259	16384
32	0.01	11.6259	0.154126	40019	16384
64	0.01	12.4353	0.239996	39195	16384
128	0.01	17.0555	0.738145	38996	16384
256	0.01	23.2091	0.949412	39750	16384
0.5	0.01	18.2295	0.784956	39849	16384
1	0.01	17.7765	0.745179	145765	16384
2	0.01	21.2303	0.896327	39193	16384
4	0.01	14.5974	0.490154	39003	16384
8	0.01	13.0863	0.256261	39424	16384
16	0.01	11.7283	0.169515	39759	16384
32	0.01	11.6155	0.153242	40477	16384
64	0.01	12.2379	0.228637	39696	16384
128	0.01	17.0944	0.738333	41033	16384
256	0.01	24.0272	0.951781	39952	16384
0.5	0.01	17.688	0.758908	40460	16384
1	0.01	18.4495	0.790168	40044	16384
2	0.01	18.4073	0.791175	39615	16384
4	0.01	19.5481	0.862394	38878	16384
8	0.01	14.9496	0.548927	39489	16384
16	0.01	12.786	0.329414	40026	16384
32	0.01	11.9232	0.207232	39709	16384
64	0.01	12.5169	0.263605	40709	16384
128	0.01	17.0243	0.738013	39535	16384
256	0.01	23.2911	0.949262	39902	16384
0.5	0.01	19.5417	0.862942	40151	16384
1	0.01	21.6402	0.90344	39538	16384
