Alpha	CenterFrac	PSNR	SSIM	Time	# Samples
0	0.01	17.8613	0.763719	40545	65536
0.5	0.01	18.3089	0.782541	37599	65536
1	0.01	18.0502	0.789433	37251	65536
1.5	0.01	20.8701	0.888006	36755	65536
2	0.01	18.6544	0.790485	36888	65536
2.5	0.01	18.1876	0.78053	36996	65536
3	0.01	17.431	0.738725	37331	65536
3.5	0.01	15.7254	0.630102	37387	65536
4	0.01	15.7921	0.621225	37480	65536
4.5	0.01	18.2352	0.802614	37080	65536
5	0.01	16.1765	0.664855	36653	65536
0	0.06	23.3461	0.935821	37003	65536
0.5	0.06	20.4485	0.875089	36809	65536
1	0.06	24.0112	0.945403	37044	65536
1.5	0.06	24.0315	0.94404	37049	65536
2	0.06	24.1473	0.953094	36833	65536
2.5	0.06	21.7083	0.903869	36725	65536
3	0.06	15.8707	0.668692	36893	65536
3.5	0.06	16.6568	0.704303	36667	65536
4	0.06	18.7173	0.821774	37005	65536
4.5	0.06	15.7369	0.620349	37027	65536
5	0.06	16.7712	0.710865	36716	65536
0	0.11	22.841	0.935489	37215	65536
0.5	0.11	25.3587	0.962984	37681	65536
1	0.11	23.2055	0.936737	37398	65536
1.5	0.11	18.5533	0.818633	37105	65536
2	0.11	24.0078	0.949234	138074	65536
2.5	0.11	21.3478	0.904556	37210	65536
3	0.11	19.5821	0.854479	37309	65536
3.5	0.11	23.2269	0.946609	37528	65536
4	0.11	13.6469	0.418442	36788	65536
4.5	0.11	26.2928	0.970843	37250	65536
5	0.11	13.9682	0.462198	37169	65536
0	0.16	24.1514	0.965966	37039	65536
0.5	0.16	21.0373	0.900926	37058	65536
1	0.16	20.7607	0.899395	36956	65536
1.5	0.16	18.3573	0.822009	37132	65536
2	0.16	15.5406	0.627368	37552	65536
2.5	0.16	17.8674	0.789889	140262	65536
3	0.16	16.8763	0.727514	37174	65536
3.5	0.16	16.7915	0.726824	37102	65536
4	0.16	18.2176	0.805122	37298	65536
4.5	0.16	13.5403	0.414598	37175	65536
5	0.16	14.3142	0.499704	37200	65536
0	0.21	27.0837	0.974105	36749	65536
0.5	0.21	25.9441	0.966069	37022	65536
1	0.21	26.7433	0.973382	36701	65536
1.5	0.21	18.2874	0.802625	37067	65536
2	0.21	15.9664	0.651779	37217	65536
2.5	0.21	21.7502	0.91551	37152	65536
3	0.21	12.1881	0.190514	37053	65536
3.5	0.21	16.9581	0.724869	36667	65536
4	0.21	16.3726	0.693627	36963	65536
4.5	0.21	12.643	0.269269	37107	65536
5	0.21	14.601	0.533109	36939	65536
0	0.26	12.4761	0.257183	37929	65536
0.5	0.26	12.4761	0.257183	69733	65536
1	0.26	12.4761	0.257183	38047	65536
1.5	0.26	12.4761	0.257183	38154	65536
2	0.26	12.4761	0.257183	38064	65536
2.5	0.26	12.4761	0.257183	38440	65536
3	0.26	12.4761	0.257183	37882	65536
3.5	0.26	12.4761	0.257183	38669	65536
4	0.26	12.4761	0.257183	38124	65536
4.5	0.26	12.4761	0.257183	38300	65536
5	0.26	12.4761	0.257183	360182	65536
